id sire dam sibgroup YC
1999NOS1CBN0000G0P3F1A7 0 0 S1CBN 1999
1999NOS1CBN0000G0P3F1D7 0 0 S1CBN 1999
1999NOS1CBN0000G0P3F9F9 0 0 S1CBN 1999
1999NOS1CBN0000G0P3M3A2 0 0 S1CBN 1999
1999NOS1CBN0000G0P3M3A3 0 0 S1CBN 1999
1999NOS1CBN0000G0P3M3C4 0 0 S1CBN 1999
1999NOS1CBN0000G0P3M3E3 0 0 S1CBN 1999
1999NOS1CBN000G0P3F13E1 0 0 S1CBN 1999
1999NOS1CBN000G0P3F13H1 0 0 S1CBN 1999
1999NOS1CBN000G0P3M11F2 0 0 S1CBN 1999
1999NOS1CBN000G0P3M15F1 0 0 S1CBN 1999
1999NOS1CBN000G0P3M15G3 0 0 S1CBN 1999
2000NOS1CBN0000G0P4F1E2 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F1G1 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F1H8 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F3A2 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F3F4 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F5E5 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F5F4 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F5H6 0 0 S1CBN 2000
2000NOS1CBN0000G0P4F7E2 0 0 S1CBN 2000
2000NOS1CBN0000G0P4M5B3 0 0 S1CBN 2000
2000NOS1CBN0000G0P4M5D3 0 0 S1CBN 2000
2000NOS1CBN0000G0P4M5H3 0 0 S1CBN 2000
2000NOS1CBN0000G0P4M7B1 0 0 S1CBN 2000
2000NOS1CBN0000G0P4M7D8 0 0 S1CBN 2000
2000NOS1CBN000G0P4F5C11 0 0 S1CBN 2000
2000NOS1CBN000G0P4M1A10 0 0 S1CBN 2000
2000NOS1CBN000G0P4M1E10 0 0 S1CBN 2000
2000NOS1CBN000G0P4M1F10 0 0 S1CBN 2000
2000NOS1CBN000G0P4M3D12 0 0 S1CBN 2000
2000NOS1CBN000G0P4M3F10 0 0 S1CBN 2000
2001NOS1CBN000G1P112473 1997NOS1CBN00000G0P1B39 1997NOS1CBN00000G0P1624 S1CBN 2001
2001NOS1CBN000G1P112485 1997NOS1CBN00000G0P1G72 1997NOS1CBN00000G0P1417 S1CBN 2001
2001NOS1CBN000G1P112723 1997NOS1CBN00000G0P1US2 1997NOS1CBN00000G0P1UD2 S1CBN 2001
2001NOS1CBN000G1P113705 1997NOS1CBN0000G0P1US15 1997NOS1CBN0000G0P1UD15 S1CBN 2001
2001NOS1CBN000G1P113950 1997NOS1CBN00000G0P1G71 1997NOS1CBN00000G0P1357 S1CBN 2001
2001NOS1CBN000G1P115729 1997NOS1CBN00000G0P1B39 1997NOS1CBN00000G0P1622 S1CBN 2001
2001NOS1CBN000G1P115757 1997NOS1CBN00000G0P1G71 1997NOS1CBN00000G0P1357 S1CBN 2001
2001NOS1CBN000G1P117919 1997NOS1CBN00000G0P1US1 1997NOS1CBN00000G0P1UD1 S1CBN 2001
2001NOS1CBN000G1P117936 1997NOS1CBN0000G0P1US12 1997NOS1CBN0000G0P1UD12 S1CBN 2001
2001NOS1CBN000G1P117937 0 0 S1CBN 2001
2001NOS1CBN000G1P119576 1997NOS1CBN000000G0P1B9 1997NOS1CBN00000G0P1523 S1CBN 2001
2001NOS1CBN000G1P119758 1997NOS1CBN00000G0P1B16 1997NOS1CBN00000G0P1519 S1CBN 2001
2001NOS1CBN000G1P120044 1997NOS1CBN0000G0P1US32 1997NOS1CBN0000G0P1UD32 S1CBN 2001
2001NOS1CBN000G1P1GRAA4 0 0 S1CBN 2001
2001NOS1CBN000G1P1RAUD3 1997NOS1CBN00000G0P1G31 1997NOS1CBN00000G0P1307 S1CBN 2001
2001NOS1CBN000G1P1RAUD4 1997NOS1CBN0000G0P1US41 1997NOS1CBN0000G0P1UD41 S1CBN 2001
2001NOS1CBN000G1P1RAUD7 1997NOS1CBN00000G0P1B21 1997NOS1CBN00000G0P1653 S1CBN 2001
2001NOS1CBN00G1P1GRAA18 1997NOS1CBN000000G0P1B9 1997NOS1CBN00000G0P1534 S1CBN 2001
2001NOS1CBN00G1P1KVIT17 0 0 S1CBN 2001
2001NOS1CBN00G1P1KVIT24 1997NOS1CBN00000G0P1G46 1997NOS1CBN00000G0P1339 S1CBN 2001
2001NOS1CBN00G1P1RAUD16 1997NOS1CBN00000G0P1B16 1997NOS1CBN00000G0P1519 S1CBN 2001
2001NOS1CBN00G1P1RAUD17 1997NOS1CBN0000G0P1US13 1997NOS1CBN0000G0P1UD13 S1CBN 2001
2001NOS1CBN00G1P1RAUD22 1997NOS1CBN00000G0P1B15 1997NOS1CBN00000G0P1630 S1CBN 2001
2001NOS1CBN0G1P1LILLA17 1997NOS1CBN000000G0P1B5 1997NOS1CBN00000G0P1532 S1CBN 2001
2001NOS1CBN0G1P1LILLA20 1997NOS1CBN0000G0P1US20 1997NOS1CBN0000G0P1UD20 S1CBN 2001
2001NOS1CBN0G1P1LILLA24 1997NOS1CBN00000G0P1G31 1997NOS1CBN00000G0P1307 S1CBN 2001
2002NOS1CBN000G1P210691 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBN000G1P210726 1998NOS1CBN00000G0P2M13 1998NOS1CBN00000G0P2F52 S1CBN 2002
2002NOS1CBN000G1P211546 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F156 S1CBN 2002
2002NOS1CBN000G1P211864 1998NOS1CBN00000G0P2M61 1998NOS1CBN0000G0P2F128 S1CBN 2002
2002NOS1CBN000G1P211942 1998NOS1CBN0000G0P2M139 1998NOS1CBN0000G0P2F264 S1CBN 2002
2002NOS1CBN000G1P212414 1998NOS1CBN0000G0P2M124 1998NOS1CBN0000G0P2F233 S1CBN 2002
2002NOS1CBN000G1P212832 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBN000G1P212854 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F208 S1CBN 2002
2002NOS1CBN000G1P212946 1998NOS1CBN0000G0P2M120 1998NOS1CBN0000G0P2F266 S1CBN 2002
2002NOS1CBN000G1P213101 1998NOS1CBN00000G0P2M61 1998NOS1CBN0000G0P2F128 S1CBN 2002
2002NOS1CBN000G1P213311 1998NOS1CBN00000G0P2M14 1998NOS1CBN00000G0P2F40 S1CBN 2002
2002NOS1CBN000G1P213375 1998NOS1CBN00000G0P2M89 1998NOS1CBN0000G0P2F189 S1CBN 2002
2002NOS1CBN000G1P213621 1998NOS1CBN000000G0P2M2 1998NOS1CBN00000G0P2F62 S1CBN 2002
2002NOS1CBN000G1P213672 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBN000G1P213683 1998NOS1CBN0000G0P2M124 1998NOS1CBN0000G0P2F233 S1CBN 2002
2002NOS1CBN000G1P213705 1998NOS1CBN00000G0P2M48 1998NOS1CBN0000G0P2F137 S1CBN 2002
2002NOS1CBN000G1P213709 1998NOS1CBN00000G0P2M14 1998NOS1CBN00000G0P2F40 S1CBN 2002
2002NOS1CBN000G1P214203 1998NOS1CBN00000G0P2M61 1998NOS1CBN0000G0P2F128 S1CBN 2002
2002NOS1CBN000G1P214275 1998NOS1CBN00000G0P2M48 1998NOS1CBN0000G0P2F137 S1CBN 2002
2002NOS1CBN000G1P214305 1998NOS1CBN0000G0P2M119 1998NOS1CBN0000G0P2F163 S1CBN 2002
2002NOS1CBN000G1P214386 1998NOS1CBN00000G0P2M13 1998NOS1CBN00000G0P2F52 S1CBN 2002
2002NOS1CBN000G1P214667 1998NOS1CBN0000G0P2M105 1998NOS1CBN0000G0P2F171 S1CBN 2002
